,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
novobirilyussy,ru,2017-12-09,2017-12-09 14:48:23,0.0,83.0,56.95,90.67,7.81,6.76
beidao,cn,2017-12-09,2017-12-09 14:48:23,8.0,55.0,34.57,105.89,20.09,4.18
kalmunai,lk,2017-12-09,2017-12-09 14:48:24,88.0,100.0,7.42,81.82,74.86,2.17
medvode,si,2017-12-09,2017-12-09 14:30:00,75.0,92.0,46.13,14.43,32.0,2.24
morondava,mg,2017-12-09,2017-12-09 14:48:24,24.0,89.0,-20.28,44.28,81.25,5.75
sheridan,us,2017-12-09,2017-12-09 13:53:00,1.0,53.0,44.8,-106.96,44.6,3.36
saint-pierre,pm,2017-12-09,2017-12-09 14:00:00,0.0,100.0,46.77,-56.17,39.2,4.41
saldanha,za,2017-12-09,2017-12-09 14:00:00,0.0,38.0,-33.01,17.94,77.0,27.51
tiarei,pf,2017-12-09,2017-12-09 14:30:00,92.0,74.0,-17.53,-149.33,78.8,5.82
klaksvik,fo,2017-12-09,2017-12-09 14:20:00,80.0,100.0,62.23,-6.59,32.0,34.45
finschhafen,pg,2017-12-09,2017-12-09 14:48:26,56.0,94.0,-6.6,147.87,75.4,1.72
